ALLAINES	AMBERIEU	462,61	54,20	82,90	132,70	178,20	30,60
ALLAINES	ARLAY	403,12	48,70	75,00	121,90	162,30	27,00
ALLAINES	AUXERRE NORD	160,62	27,80	41,70	68,50	89,00	14,30
ALLAINES	AUXERRE SUD	172,32	27,80	41,70	68,50	89,00	14,30
ALLAINES	AVALLON	216,42	31,60	48,00	78,90	103,90	17,10
ALLAINES	BALAN	486,64	55,10	84,80	135,40	181,30	31,20
ALLAINES	BAUME-LES-DAMES	443,12	51,70	79,60	127,90	171,90	29,20
ALLAINES	BEAUNE NORD	308,07	39,70	60,80	98,60	130,20	21,90
ALLAINES	BEAUNE SUD	313,82	40,90	62,40	101,10	134,10	22,50
ALLAINES	BEAUPONT	446,82	51,90	80,00	129,40	173,20	29,40
ALLAINES	BEAUREPAIRE	418,52	49,90	76,70	123,90	166,50	27,70
ALLAINES	BELLEVILLE S/SAONE	419,52	50,00	76,60	122,60	164,20	27,70
ALLAINES	BERSAILLIN	398,53	48,50	73,70	120,50	160,70	26,90
ALLAINES	BESANCON EST	424,04	49,00	76,10	122,80	164,90	27,50
ALLAINES	BESANCON NORD	409,42	49,00	75,00	121,20	162,10	27,10
ALLAINES	BESANCON OUEST	400,02	49,00	74,50	120,70	161,00	27,00
ALLAINES	BEYNOST	500,80	57,50	88,70	141,20	189,90	32,90
ALLAINES	BIERRE-LES-SEMUR	242,32	33,70	50,50	83,20	109,90	18,10
ALLAINES	BOURG NORD	420,41	50,20	77,10	122,80	164,90	28,10
ALLAINES	BOURG SUD	440,84	51,40	79,30	126,80	169,80	29,40
ALLAINES	BULGNEVILLE	373,87	43,90	66,90	107,50	144,30	24,00
ALLAINES	CHALON NORD	335,92	43,30	66,30	105,80	141,10	23,70
ALLAINES	CHALON SUD	342,12	43,30	66,30	105,80	141,10	23,70
ALLAINES	CHATENOIS	384,02	44,30	67,60	109,10	146,20	24,60
ALLAINES	CHATILLON-LABORDE	197,24	30,80	46,60	75,90	99,80	16,50
ALLAINES	CHAUMONT-SEMOUTIERS	291,49	37,10	56,30	91,90	122,10	20,00
ALLAINES	CHOISEY	365,23	45,40	69,50	112,30	150,00	25,10
ALLAINES	CLERMONT-BARRIERE	334,58	35,60	55,40	87,90	118,40	21,30
ALLAINES	COLOMBEY-LES-BELLES	412,72	47,00	71,40	115,20	155,30	25,70
ALLAINES	COMBRONDE	297,36	30,70	48,20	75,80	101,40	18,60
ALLAINES	COURTENAY	118,31	23,40	35,00	58,10	74,80	11,90
ALLAINES	DIJON SUD	343,72	43,50	66,70	107,10	142,70	23,80
ALLAINES	DIJON-ARC S/TILLE	358,88	45,00	69,00	110,80	147,70	24,90
ALLAINES	DIJON-CRIMOLOIS	391,22	44,20	67,30	109,60	145,20	24,60
ALLAINES	DOLE	367,42	45,40	69,50	112,30	150,00	25,10
